name,code,phoneCode,pattern,placeholder
United Arab Emirates,AE,+971,^[0-9]{9}$,50 123 4567
India,IN,+91,^[0-9]{10}$,98765 43210
Pakistan,PK,+92,^[0-9]{10}$,300 1234567
Bangladesh,BD,+880,^[0-9]{10}$,1712 345678
Sri Lanka,LK,+94,^[0-9]{9}$,77 123 4567
Nepal,NP,+977,^[0-9]{10}$,9841 234567
Philippines,PH,+63,^[0-9]{10}$,917 123 4567
Egypt,EG,+20,^[0-9]{10}$,10 1234 5678
Jordan,JO,+962,^[0-9]{9}$,77 123 456
Lebanon,LB,+961,^[0-9]{8}$,71 123 456
Saudi Arabia,SA,+966,^[0-9]{9}$,50 123 4567
Kuwait,KW,+965,^[0-9]{8}$,9001 2345
Qatar,QA,+974,^[0-9]{8}$,3001 2345
Bahrain,BH,+973,^[0-9]{8}$,3001 2345
Oman,OM,+968,^[0-9]{8}$,9001 2345
Australia,AU,+61,^[23478][0-9]{8}$,412345678
United Kingdom,GB,+44,^[0-9]{10}$,7123 456789
